Admin,Latitude,Longitude,Area,Medic,Ward,Beds,Urban,Population,Essential,Reproductive,Nhos,Ndocs,OpenYear,OpenMonth,OpenDay,CloseYear,CloseMonth,CloseDay,Date,Censored
5350000,35.2427191,128.9043612,1674.6,1,11,29,1,542338,1,1,74,2073,2014,5,14,,,,3705,0
5360000,35.5062202,128.735939,293.46,1,,,1,104831,0,0,15,275,2008,5,16,,,,5894,0
5350000,35.1950464,128.8010574,178.47,1,,,1,542338,1,0,74,2073,2004,4,21,,,,7380,0
5360000,35.4858656,128.7569872,180.9,1,,,1,104831,1,1,15,275,2008,7,2,,,,5847,0
5370000,34.8969056,128.6295703,277.5,1,,,1,245754,1,1,15,830,2001,9,7,,,,8337,0
5370000,34.8905646,128.6217751,384,2,5,7,1,245754,1,1,15,830,2001,9,25,,,,8319,0
5350000,35.2026675,128.8082431,135.63,1,,,1,542338,1,0,74,2073,2003,9,23,,,,7591,0
5360000,35.4939387,128.7560131,189.04,1,,,1,104831,1,1,15,275,2007,2,28,,,,6337,0
5350000,35.2665866,128.8669233,105.84,1,,,1,542338,1,1,74,2073,2003,10,8,,,,7576,0
5350000,35.2027822,128.8083998,152.4,1,,,1,542338,1,0,74,2073,2008,7,4,,,,5845,0
5350000,35.2380825,128.8676782,531.4,3,6,8,1,542338,1,0,74,2073,2008,8,28,,,,5790,0
5350000,35.1731307,128.8150516,237.62,1,,,1,542338,1,1,74,2073,2012,7,4,,,,4384,0
5350000,35.2328375,128.8666682,246.92,1,,,1,542338,0,0,74,2073,2003,10,29,,,,7555,0
5350000,35.2510045,128.7476029,200.4,1,,,0,542338,1,0,74,2073,2004,2,9,,,,7452,0
5360000,35.485681,128.756651,129.4,1,,,1,104831,0,0,15,275,2007,12,14,,,,6048,0
5350000,35.3043454,128.7350412,319,1,,,1,542338,1,0,74,2073,2004,2,19,,,,7442,0
5350000,35.1954633,128.8023611,110,2,,,1,542338,1,0,74,2073,2003,7,1,,,,7675,0
